name,status,signature,read_error
2019-06-19_07-51-12__JOtylnpfQexvoMZnnygwlZxDIZG1l5UuPGdT1jbT.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-06-20_08-52-58__lHBP78ZSTjGEBZ7KHoP8iDIdzSLxUmOSxvWhlVqx.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-06-21_08-48-01__6EhfgWrAhBNmWhgeKbYna9dNmvxfREgkcxef04aH.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-06-22_00-11-43__CW2gbubCjlWXMyK5nGq4CZt4LYAcnVcVWfzbRn6H.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-06-25_09-09-48__JoOmndXQwytUpA5OYcBDrwAHBKByneZHf2J86mI6.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-06-26_08-57-26__swpSaHaTx0mQAaKVU9wiuzgyhb9OtN6rN40e1IjA.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-06-27_09-13-54__Sbz7JKtqM4CtueOTcV9gCYQgARcZBtK26qVEx9z2.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-06-28_09-28-23__l3rRLp44V2J2hEBlf6kGJEPDtwI7xKno42tHi5Yi.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-06-28_19-50-11__0TiW2sMzAe4Fo5h1HWci5uJ2BYUUCQapFjh9gFzm.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-07-02_09-14-30__VvpK1nakdRE78nPyTHK5kALfWISBQhrH3aP8Sshi.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-07-03_08-59-21__86pR5K1Oj3jG3usN9siGo7KMVd5e0sYtaIKifh2d.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-07-03_20-52-23__BXaXxMJ7cBDZUxphLx4sjhEZCaFOMPBbFJL0I4iO.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-07-05_09-17-30__faNvcFHqjG0pc8GPgHyojgqdZQbPE9nuDpEhTQzB.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-07-05_09-55-10__tveaqNjlMb1fdsvIIiPfAES8ymXdYAtkvf1agGN9.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-07-05_19-15-08__IiDH9jWVo3VlNdaE08uZmkjKerx5ikUxAaegNPQt.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-07-09_09-22-59__o1snhkUIenLWPaFaRDapvlSuqUOiTfJsN704TA1X.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-07-10_07-31-02__oKiV6fV22BtltWazO7VNb4FJocBqZxrMBBXpYR3L.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-07-10_20-16-14__VJtCA4yjBl15oWjHgTUSNHAwcQ02DmbTMIS5lRMp.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-07-11_19-12-42__pUtuxMkbJ4cMsOobPMOFAXJRmUyexeVvkk8OD1ex.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-07-13_08-09-51__burN7Fdg7IZRvtj5OumbnobJQgMVrbXXe7GMYbdi.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-07-15_19-48-37__wfRgz2cG1khfth0cYKsWG4f0gGYsokKiDs2x3HwG.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-07-16_19-49-57__Xeis5sbjsEmxyL0OoWZanyGRAIkxcZ1w7bIps7dW.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-07-17_18-54-39__YwwrhJuPcJITuVauCVF3lwtfLM5YaDVOZr6XnCAX.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-07-19_07-58-49__h6sgGwkHrFTSZzSoyZ7OxqSlAO6BH0FQ96JiF8xE.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-07-20_08-42-09__s1egRpWSogYNj9FHLNhvVqtlchqHoAE0olvyIezu.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-07-22_20-12-28__EiyBdwmcHLu7nfLzfiFY2fVYJBE7KwEjrgPybPmV.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-07-24_19-47-32__IBHPzZi5LH50wssJ2QEke2QY8aEBJg4MHfFGUa1e.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-07-26_08-55-57__OsaBff3vKubPqxCYZfCu8b9TrhuGFCNZYasuNUg4.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-07-27_08-02-22__0sPcB6il0ulvTjpv3XOyfUnch1uW82N7iaAJd5Z8.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-07-30_07-43-00__1L0KjXRb4IzTHVoOZgZh2bqMsnW8q9m95qzdnRXL.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-07-31_08-36-52__OOUgwDRLKcKpMod0XnIfz4lOjk63DkEVduNG5lhm.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-08-01_09-19-54__UItGY1J94aHOsS3s00xg7igSHzl7hm84iczAHsqM.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-08-02_08-50-22__jgMoCuvmOzjwAljx5d9OtIef1MlIoxUsC1nmxJat.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-08-03_09-07-20__2H1wDCGedSOFiPGyn9CaRK2p99S60hsGOGsSziEF.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-08-05_18-38-10__ZDF5CRTBuM4y86v2MYho8AgAhXjbEui6UusHRzfK.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-08-07_08-22-08__vBfriwjJG3AYfXxUOMFsYCynA4XAUvGWyFOYtIWW.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-08-08_09-05-36__IGaVGWeyDYo3rUeainNrSA4k3iUaRCKhWmW1dY1h.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-08-09_09-05-17__9p9JruaoELqs1sMK79dGYqYjB6LunI7SxwWljX4P.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-08-10_07-45-25__JuJnsbvQSM7QE1eX94h0aIMYKvONuolLw3dsWifp.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-08-13_08-30-01__mJqp9d84xw3QsHp5T9nVZQhoAwAwdiH43CwoFTCj.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-08-13_19-21-12__Kr34jZzuR6Jtw0sBfAWXn1thhwFUJP3u2snXI5rq.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-08-15_08-49-04__8IXCaweBhmOX4McBCGpiVHb9L7M0JWN7WYvgGflA.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-08-16_08-05-40__mW5onkhtlKLCpuilV4e7uto22cGMeroYBdABIJBY.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-08-16_22-15-22__7Jc79QczlDorYt6xQlIMLOViqhpY0V9qEv1iFvIA.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-08-19_22-20-37__NzWODseGKllEyZJVlwwylE4H8hbUU8u2MhPP7AI3.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-08-21_08-52-52__TCD0pUCqyYan70tOrcd28CTr0gujfyfkYRj7Jx6S.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-08-22_01-15-52__tVjTJzyFz2ouSb5351KPykEvMz3PAJwYQ3XVmYB3.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-08-23_09-14-32__oPyR3CRIRI2Vc1HnjBOAvxUL7uUyQPYb0UHEIqY9.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-08-24_08-15-56__RPIyZRWOUwdb0JJLLUtWDoFoe1ZTyvd4wdVVlJXu.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-08-26_18-18-12__Es6fu4Z5PS9Z6DhSlbQPbTTtj79KadHtJhXJM7F6.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-08-28_07-41-01__VkDmKqXogevLypXhNOcjAO7FPdXOJ9UVtkNQ4jXt.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-08-29_08-20-16__yjwJ6OmkEztU6w9mXKtuec3kj0nixf1YPaPCf8G0.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
